dataset71    4.838e-30   8.307e-30   0.582   2.236e-29   1.465e-29   1.546
dataset72    7.252e-30   1.055e-29   0.687  -6.509e-29   1.759e-29  -3.603
dataset73    1.748e-30   5.563e-30   0.314   1.304e-29   1.184e-29   1.123
dataset74    2.350e-30   6.785e-30   0.346   6.972e-30   1.537e-29   0.499
dataset75    2.828e-29   1.197e-29   2.363   4.600e-29   1.560e-29   3.027
dataset76    5.990e-30   1.222e-29   0.490   1.376e-29   1.424e-29   1.015
dataset77   -6.943e-31   1.095e-29  -0.063   8.633e-30   1.662e-29   0.558
dataset78    8.067e-30   4.939e-30   1.633   1.211e-29   1.340e-29   0.937
dataset79   -5.398e-30   7.324e-30  -0.737   6.966e-30   1.365e-29   0.514
dataset80    4.907e-31   1.786e-30   0.275   2.555e-29   1.271e-29   2.091
dataset81    6.757e-30   6.250e-30   1.081   1.492e-29   1.077e-29   1.430
dataset82    4.960e-30   1.148e-29   0.432   1.180e-29   1.533e-29   0.788
dataset83    1.437e-29   1.007e-29   1.426   1.967e-29   1.400e-29   1.459
dataset84    1.486e-29   6.218e-30   2.390   3.039e-29   1.153e-29   2.717
dataset85   -7.035e-30   7.712e-30  -0.912   4.939e-29   1.820e-29   2.782
dataset86   -2.930e-31   1.069e-29  -0.027   1.630e-29   1.457e-29   1.148
dataset87    9.070e-30   9.468e-30   0.958   2.738e-29   1.305e-29   2.162
dataset88    2.601e-29   9.080e-30   2.864   3.762e-29   1.530e-29   2.528
dataset89    1.306e-29   6.625e-30   1.971   5.184e-29   1.532e-29   3.449
dataset90    2.641e-29   7.963e-30   3.317   4.133e-29   1.261e-29   3.387
dataset91    8.067e-30   8.221e-30   0.981   1.336e-29   1.365e-29   1.079
dataset92    3.007e-29   1.103e-29   2.726   8.418e-29   2.062e-29   4.209
dataset93   -1.687e-30   6.767e-30  -0.249  -2.006e-30   1.064e-29  -0.168
dataset94    4.291e-30   6.889e-30   0.623  -1.089e-30   1.413e-29  -0.075
dataset95   -3.553e-30   6.275e-30  -0.566   9.347e-30   1.254e-29   0.753
dataset96    1.023e-29   5.771e-30   1.773   1.362e-29   1.220e-29   1.171
dataset97    5.197e-29   1.598e-29   3.251   7.200e-29   1.814e-29   4.094
dataset98    1.642e-29   8.064e-30   2.036   2.703e-29   1.812e-29   1.568
dataset99   -1.751e-30   3.404e-30  -0.514   9.685e-30   1.123e-29   0.899
