dataset0     20  0.0952
dataset1     80  0.3810
dataset2    131  0.6238
dataset3      8  0.0381
dataset4      0  0.0000
dataset5      1  0.0048
dataset6      0  0.0000
dataset7      5  0.0238
dataset8     43  0.2048
dataset9     69  0.3286
dataset10     4  0.0190
dataset11     9  0.0429
dataset12     3  0.0143
dataset13     8  0.0381
dataset14    11  0.0524
dataset15     5  0.0238
dataset16     6  0.0286
dataset17     1  0.0048
dataset18    11  0.0524
dataset19   125  0.5952
dataset20     0  0.0000
dataset21    25  0.1190
dataset22     5  0.0238
dataset23     0  0.0000
dataset24     6  0.0286
dataset25    23  0.1095
dataset26     1  0.0048
dataset27    19  0.0905
dataset28    29  0.1381
dataset29    85  0.4048
dataset30    12  0.0571
dataset31     0  0.0000
dataset32    62  0.2952
dataset33   144  0.6857
dataset35    27  0.1286
dataset36    54  0.2571
dataset37    27  0.1286
dataset39    76  0.3619
dataset40     2  0.0095
dataset41     4  0.0190
dataset42     6  0.0286
dataset43    10  0.0476
dataset44     0  0.0000
dataset45     0  0.0000
dataset46     1  0.0048
dataset47     1  0.0048
dataset48   177  0.8429
dataset49   127  0.6048
dataset50    24  0.1143
dataset51    44  0.2095
dataset52     2  0.0095
dataset53     1  0.0048
dataset54   115  0.5476
dataset55    15  0.0714
dataset56     0  0.0000
dataset57     0  0.0000
dataset58     0  0.0000
dataset59     7  0.0333
dataset61    25  0.1190
dataset63    34  0.1619
dataset64     4  0.0190
dataset65    23  0.1095
dataset66    65  0.3095
dataset67    48  0.2286
dataset68     2  0.0095
dataset69    14  0.0667
dataset70    40  0.1905
dataset71    10  0.0476
dataset72   166  0.7905
dataset73    28  0.1333
dataset74    60  0.2857
dataset75     1  0.0048
dataset76    36  0.1714
dataset77    56  0.2667
dataset78    21  0.1000
dataset79    56  0.2667
dataset80     4  0.0190
dataset81    18  0.0857
dataset82    46  0.2190
dataset83    18  0.0857
dataset84     2  0.0095
dataset85     1  0.0048
dataset86    24  0.1143
dataset87     2  0.0095
dataset88     0  0.0000
dataset89     0  0.0000
dataset90     0  0.0000
dataset91    20  0.0952
dataset92     0  0.0000
dataset93   116  0.5524
dataset94   100  0.4762
dataset95    47  0.2238
dataset96    30  0.1429
dataset97     0  0.0000
dataset98    17  0.0810
dataset99    26  0.1238
