dataset70    3.298e-30   6.552e-30   0.503   4.996e-30   3.989e-30   1.268
dataset71    4.838e-30   8.307e-30   0.582   1.195e-29   5.282e-30   2.301
dataset72    7.252e-30   1.055e-29   0.687  -7.123e-30   6.328e-30  -1.059
dataset73    1.748e-30   5.563e-30   0.314   2.559e-30   4.038e-30   0.637
dataset74    2.350e-30   6.785e-30   0.346  -8.362e-31   5.897e-30  -0.157
dataset75    2.828e-29   1.197e-29   2.363   1.943e-29   5.867e-30   3.415
dataset76    5.990e-30   1.222e-29   0.490   8.298e-30   5.368e-30   1.596
dataset77   -6.943e-31   1.095e-29  -0.063   8.128e-30   6.112e-30   1.391
dataset78    8.067e-30   4.939e-30   1.633   2.202e-30   4.998e-30   0.465
dataset79   -5.398e-30   7.324e-30  -0.737  -4.747e-30   5.050e-30  -0.995
dataset80    4.907e-31   1.786e-30   0.275   1.372e-29   4.858e-30   2.866
dataset81    6.757e-30   6.250e-30   1.081   4.357e-30   4.216e-30   1.080
dataset82    4.960e-30   1.148e-29   0.432  -5.140e-30   5.689e-30  -0.916
dataset83    1.437e-29   1.007e-29   1.426   7.520e-30   5.309e-30   1.498
dataset84    1.486e-29   6.218e-30   2.390   1.359e-29   4.461e-30   3.114
dataset85   -7.035e-30   7.712e-30  -0.912   8.474e-30   6.622e-30   1.310
dataset86   -2.930e-31   1.069e-29  -0.027   7.189e-30   5.486e-30   1.341
dataset87    9.070e-30   9.468e-30   0.958   9.123e-30   4.791e-30   1.937
dataset88    2.601e-29   9.080e-30   2.864   6.940e-30   5.543e-30   1.329
dataset89    1.306e-29   6.625e-30   1.971   1.571e-29   5.604e-30   2.859
dataset90    2.641e-29   7.963e-30   3.317   1.173e-29   4.654e-30   2.604
dataset91    8.067e-30   8.221e-30   0.981   2.813e-30   5.266e-30   0.624
dataset92    3.007e-29   1.103e-29   2.726   2.527e-29   7.600e-30   3.405
dataset93   -1.687e-30   6.767e-30  -0.249  -1.206e-30   3.967e-30  -0.302
dataset94    4.291e-30   6.889e-30   0.623   1.584e-30   5.288e-30   0.308
dataset95   -3.553e-30   6.275e-30  -0.566   4.797e-30   4.549e-30   1.054
dataset96    1.023e-29   5.771e-30   1.773   6.532e-30   4.702e-30   1.456
dataset97    5.197e-29   1.598e-29   3.251   1.516e-29   6.730e-30   2.324
dataset98    1.642e-29   8.064e-30   2.036   1.248e-29   6.572e-30   1.960
dataset99   -1.751e-30   3.404e-30  -0.514   2.292e-30   4.270e-30   0.488
